"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"CHM00054511","1945-10-31","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   96","H,,S"
"CHM00054511","1945-11-01","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  116","H,,S"
"CHM00054511","1945-11-02","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  116","H,,S"
"CHM00054511","1945-11-03","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   97","H,,S"
"CHM00054511","1945-11-04","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  119","H,,S"
"CHM00054511","1945-11-05","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  126","H,,S"
"CHM00054511","1945-11-06","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   93","H,,S"
"CHM00054511","1945-11-07","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  105","H,,S"
"CHM00054511","1945-11-08","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  102","H,,S"
"CHM00054511","1945-11-09","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  114","H,,S"
"CHM00054511","1945-11-10","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  100","H,,S"
"CHM00054511","1945-11-11","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   46","H,,S"
"CHM00054511","1945-11-12","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   77","H,,S"
"CHM00054511","1945-11-13","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   83","H,,S"
"CHM00054511","1945-11-14","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   76","H,,S"
"CHM00054511","1945-11-15","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   63","H,,S"
"CHM00054511","1945-11-16","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   79","H,,S"
"CHM00054511","1945-11-17","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   82","H,,S"
"CHM00054511","1945-11-18","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   88","H,,S"
"CHM00054511","1945-11-19","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   56","H,,S"
"CHM00054511","1945-11-20","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   63","H,,S"
"CHM00054511","1945-11-21","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   38","H,,S"
"CHM00054511","1945-11-22","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   22","H,,S"
"CHM00054511","1945-11-23","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   34","H,,S"
"CHM00054511","1945-11-24","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   45","H,,S"
"CHM00054511","1945-11-25","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   68","H,,S"
"CHM00054511","1945-11-26","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   61","H,,S"
"CHM00054511","1945-11-27","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   18","H,,S"
"CHM00054511","1945-11-28","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"    7","H,,S"
"CHM00054511","1945-11-29","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"    6","H,,S"
"CHM00054511","1945-11-30","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -25","H,,S"
"CHM00054511","1945-12-01","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   -7","H,,S"
"CHM00054511","1945-12-02","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   38","H,,S"
"CHM00054511","1945-12-03","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   31","H,,S"
"CHM00054511","1945-12-04","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   12","H,,S"
"CHM00054511","1945-12-05","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   37","H,,S"
"CHM00054511","1945-12-06","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   50","H,,S"
"CHM00054511","1945-12-07","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"    4","H,,S"
"CHM00054511","1945-12-20","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   -9","H,,S"
"CHM00054511","1945-12-21","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"   -8","H,,S"
"CHM00054511","1945-12-22","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -37","H,,S"
"CHM00054511","1945-12-23","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -45","H,,S"
"CHM00054511","1945-12-24","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -27","H,,S"
"CHM00054511","1945-12-25","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -12","H,,S"
"CHM00054511","1945-12-26","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -27","H,,S"
"CHM00054511","1945-12-27","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -74","H,,S"
"CHM00054511","1945-12-28","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -72","H,,S"
"CHM00054511","1945-12-29","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -54","H,,S"
"CHM00054511","1945-12-30","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -61","H,,S"
"CHM00054511","1945-12-31","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -67","H,,S"
"CHM00054511","1946-01-01","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -37","H,,S"
"CHM00054511","1946-01-02","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -44","H,,S"
"CHM00054511","1946-01-03","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -67","H,,S"
"CHM00054511","1946-01-04","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -59","H,,S"
"CHM00054511","1946-01-05","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -78","H,,S"
"CHM00054511","1946-01-06","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -41","H,,S"
"CHM00054511","1946-01-07","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -42","H,,S"
"CHM00054511","1946-01-08","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -32","H,,S"
"CHM00054511","1946-01-09","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -62","H,,S"
"CHM00054511","1946-01-10","39.933","116.283","55.0","BEIJING, CH",,,,,,,,,"  -66","H,,S"
